Number,Country,Country ID (CCCCii),Old Country ID,WMO Code,WIGOS Station Identifier,ODIM code,Location,Opera Status,Latitude,Longitude,Height of station (m),Band,Doppler,Polarization,Max Range (km),Start Year,Height Antenna (m),diameterantenna,Beam,Gain (dB),Frequency (GHz),Available for Stratus (min),Available for Cirrus/Nimbus (min),WRWP (min)
1349,Norway,ENMI39,NO39,1498,,nohur,Hurum,1,59.6272,10.5645,346.7,C,Y,D,240,2010,362.7,4.2,1,44.4,5.62,,,
1269,Norway,ENMI32,NO32,1438,,nohgb,Haegebostad,1,58.3601,7.1648,621.5,C,Y,D,240,2016,631,4.2,1,44.4,5.64,,,
1276,Norway,ENMI34,NO34,1247,,norsa,Rissa,1,63.6905,10.2037,604.5,C,Y,D,240,2018,616,4.2,1,44.4,5.64,,,
1353,Norway,ENMI40,NO40,1079,,nober,Berlevaag,1,70.5107,29.0184,454.7,C,Y,D,240,2012,474,4.2,0.94,44.4,5.64,,,
1391,Norway,ENMI41,NO41,,,nosmn,Soemna,1,65.2201,11.9926,302,C,Y,D,240,2014,315,4.2,1,44.4,5.62,,,
1392,Norway,ENMI42,NO42,,,nohfj,Hafjell,1,61.2318,10.5273,1064,C,Y,D,240,2016,1080.1,4.2,0.916,44.4,5.64,,,
1408,Norway,ENMI43,NO43,,,norsg,Rassegalvarri,1,69.2186,23.4397,,C,Y,D,240,2022,604.1,4.2,0.94,44.4,5.64,,,
1213,Poland,SOWR41,PL41,12374,0-20000-0-12374,plleg,Legionowo,1,52.4053,20.9611,93.3,C,Y,D,250,2002,122.3,4.1,0.95,45.2,5.645,,,
1214,Poland,SOWR42,PL42,12514,0-20000-0-12514,plram,Ramża,1,50.1513,18.7251,321,C,Y,D,250,1995,357.1,4.1,0.96,45.2,5.645,,,
1265,Poland,SOWR43,PL43,12544,0-20000-0-12554,plpas,Pastewnik,1,50.8925,16.0395,668.8,C,Y,D,250,2000,691.95,4.1,0.96,45.2,5.645,,,
1280,Poland,SOWR44,PL44,12579,0-20000-0-12579,plrze,Rzeszów,1,50.1141,22.037,211.1,C,Y,D,250,2003,241.1,4.1,0.96,45.2,5.645,,,
1281,Poland,SOWR45,PL45,12331,0-20000-0-12331,plpoz,Poznań,1,52.4133,16.797,88.3,C,Y,D,250,2003,123.3,4.1,0.96,45.2,5.645,,,
